Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
P S C ASSOCIATES INC               	SOILS AND GEOTECHNICAL ENGINEER    		                                   	Peter Shun-Wing  Chan	1485 Bayshore Blvd. #104	San Francisco	CA	94124	(415) 330-6100	(415) 330-6363	5890	A/P	pscsfca@aol.com
"BELLO & ASSOCIATES, STRUCTURAL ENG"	STRUCTURAL ENGINEER                		FKA BELLO VENNARI	Marguerite  Bello	"351 California Street, Suite 420"	San Francisco                 	CA	94104	(415) 908-0555	(877) 384-9017	C 36137        	A/P	mbello@mabse.com
BENJAMIN P. LAI & ASSOC. S E	STRUCTURAL ENGINEER                			Benjamin P. Lai	P.O. Box 2169	Danville	CA	94526	(925) 820-1688	(925) 831-1687	S3268	A/P	bphlai@comcast.net
BENJAMIN P. LAI & ASSOCIATES       	STRUCTURAL ENGINEER                		"STRUCTURAL ENGINEERS, INC.         "	Benjamin P. Lai	400 Edinburgh Circle          	Danville                      	CA	94526	(925) 820-1688	(925) 831-1687	0	A/P	bphlai@comcast.net
"C S E STRUCTURAL ENGINEERS, INC."	STRUCTURAL ENGINEER                		CONSTRUCTION STRUCTURAL ENGINEER   	Anoush  Zebarjadian	82 Macy Street	San Francisco                 	CA	94103	(415) 882-1625	(415) 882-1685	0	EIN	anoush@csesf.com
DOMINIC CHU CONSULTING	STRUCTURAL ENGINEER                		DOMINIC CHU	Dominic  Chu	"3724 South El Camino Real, 2/F"	San Mateo                     	CA	94403	(650) 578-9899	(650) 578-0240	SE 2360        	A/P	dc-engr@pacbell.net
F E JORDAN ASSOCIATES INC	STRUCTURAL ENGINEER                			Frederick E Jordan	"11 Embarcadero West, Suite 210"	Oakland	CA	94607	(510) 763-2400	(510) 399-0244	C17468	BLK	fejoak@fejordan.com
INGRAHAM DE JESSE ASSOCIATES INC	STRUCTURAL ENGINEER                		                                   	Nellie  Ingraham	1629 Telegraph Ave. Suite 300	Oakland	CA	94612	(510) 834-1629	(510) 836-1629	C 26242        	A/P	ningraham@ida-se.com
OAKLEY & OAKLEY	STRUCTURAL ENGINEER                			Gary  Oakley	"7700 Edgewater Drive, Ste. 615"	Oakland	CA	94621	(510) 562-6028	(510) 562-6043	C35112	BLK	gary-oakley@oakley2.com
OLMM CONSULTING ENGINEERS	STRUCTURAL ENGINEER                		OLMM STRUCTURAL DESIGN	Sunil  Gupta	"833 Market Street, Suite 316"	San Francisco	CA	94103	(415) 882-9449	(415) 247-8088	S 2948	EIN	sunil@olmm.com
RIVERA CONSULTING GROUP INC	STRUCTURAL ENGINEER                			Edward Rivera  S.E.	"201 Mission Street, Suite 280"	San Francisco	CA	94105	(415) 975-5500	(415) 357-9806	C 28205	LAT	ed@riveraconsulting.com
SIERRA ENGINEERING GROUP           	STRUCTURAL ENGINEER                		                                   	Mayra P. Ramirez	"1328 Decoto Road, Suite 120   "	Union City                    	CA	94587	(510) 487-9192	(510) 429-7951	 E3298         	LAT	mramirez@sierraeng.com
STRUCTURAL DESIGN ENGINEERS        	STRUCTURAL ENGINEER                		S D E                              	Rajendra  Sahai	"100 Montgomery Street, #1410"	San Francisco                 	CA	94104	(415) 781-1505	(415) 781-2718	 S 2091        	EIN	Rsahai@sdesf.com
STRUCTURAL SOLUTIONS INC	STRUCTURAL ENGINEER                			Gary L. Mochizuki	"150 N. Wiget Lane, Suite 102"	Walnut Creek	CA	94598	(925) 938-3303	(925) 938-3522	S 3164	A/P	gary@structsol.com
"STRUCTUS, INC."	STRUCTURAL ENGINEER                		                                   	Fu-Lien (Henry)  Chang	351 California St. Suite 450	San Francisco                 	CA	94104	(415) 399-1710	(415) 399-8966	27757 C        	A/P	henry@structusinc.com
ANCO IRON & CONSTRUCTION	STRUCTURAL STEEL (C-51)            			Hector  Colina	1320 Egbert St.	San Francisco	CA	94124	(415) 822-3931	(415) 822-3937	749293	LAT	anco6737@sbcglobal.net
Ish Jhamb & Associates	STRUCTURAL STEEL (C-51)            			Ish  Jhamb	2200 Bridgeway Boulevard	Sausalito	CA	94966-5904	(415) 332-2540	(415) 332-5370	0		
J C METAL SPECIALISTS INC          	STRUCTURAL STEEL (C-51)            		                                   	Jeffrey  Chan	2708 Ingalls Street           	San Francisco                 	CA	94124	(415) 822-3878	(415) 822-6132	546302	A/P	ivy@jcmetals.com
"KWAN WO IRONWORKS, INC."	STRUCTURAL STEEL (C-51)            		" KIN WO CONSTRUCTION, INC."	Florence Yuen  Kong	1383 Armstrong Avenue         	San Francisco                 	CA	94124	(415) 822-9628	(415) 822-9068	643621	A/P	florkong@yahoo.com
"M C  METAL, INC."	STRUCTURAL STEEL (C-51)            		                                   	Jeffrey W T Mark	1347 Donner Avenue            	San Francisco                 	CA	94124	(415) 822-2288	(415) 822-3323	792411	A/P	mcmetal@sbcglobal.net
"TOM'S METAL SPECIALIST, INC."	STRUCTURAL STEEL (C-51)            		TOM'S WELDING & FABRICATION	Carmen  Chau	1416 Wallace Avenue	San Francisco	CA	94124	(415) 822-7971	(415) 822-8119	728525	A/P	tcjob2006@yahoo.com
GEOMATICS TRANSPORTATION SERVICES	"SURVEYING: LAND, WATER AND AERIAL; "	PHOTOGRAMMETRIC ENGINEERING   		Dan S. Scott	318 Brannan Street	San Francisco	CA	94107	(415) 546-5628	(925) 833-9443	L 7840	BLK	gtsinc@sbcglobal.net
TELAMON ENGINEERING CONSULTANT     	"SURVEYING: LAND, WATER AND AERIAL; "	PHOTOGRAMMETRIC ENGINEERING   	                                   	Mennor  Chan	"855 Folsom Street, Unit 142"	San Francisco                 	CA	94107	(415) 837-1336	(415) 837-1354	C 43842	A/P	dmanansala@telamoninc.com
J & M CONSULTANTS INC	TELECOMMUNICATIONS CONSULTING ENGIN			Jonathan L. Jew	39 Florence Street	San Francisco	CA	94133-3613	(415) 292-7734	(415) 292-6314	0	A/P	jew@j-and-m.com
APEX TESTING LABORATORIES	TESTING LABORATORIES               		                                   	Abdel-kader  Khelifa	"3450 - Third Street, #3E"	San Francisco                 	CA	94124	(415) 550-9800	(415) 550-9880	C 57368	BLK	abdel@apextestinglabs.com
P S C ASSOCIATES INC               	TESTING LABORATORIES               		                                   	Peter Shun-Wing  Chan	1485 Bayshore Blvd. #104	San Francisco	CA	94124	(415) 330-6100	(415) 330-6363	5890	A/P	pscsfca@aol.com
EARTH DEVELOPMENT	TILE: CERAMIC & MOSAIC (C-54)      			Danny  Shao	9627 Alcosta Blvd.	San Ramon	CA	94583	(925) 300-6116	(925) 829-9194	888689	A/P	danny.earth@hotmail.com
K Z TILE COMPANY	TILE: CERAMIC & MOSAIC (C-54)      		                                   	Aries  Zheng	1551 Tennessee Street	San Francisco                 	CA	94107	(415) 285-7847	(415) 285-6616	767277	A/P	kztile@aol.com
PRECISION TILE & GRANITE INC	TILE: CERAMIC & MOSAIC (C-54)      			Marcel  Sousa	"1675 Rollins Road, Suite H1"	Burlingame	CA	94040	(650) 472-3722	(650) 472-3714	877583	LAT	marcel@tgwork.com
C H S CONSULTING GROUP	TRAFFIC ENGINEER                   			Chi Hsin  Shao	"130 Sutter Street, Suite 468"	San Francisco                 	CA	94104	(415) 392-9688	(415) 392-9788	TR 2150	A/P	chshao@chsconsulting.net
PITTMAN &  ASSOCIATES	TRANSPORTATION CONSULTANTS         			Donna R. Pittman	"22 Battery Street, Suite 413"	San Francisco                 	CA	94111	(415) 394-7900	(415) 394-7747	0	BLK	donnarp@pacbell.net
"KH PLUMBING SUPPLY, INC."	"WARM AIR HEATING, VENTILATING & AIR"	CONDITIONING EQP-WHOLESALE    		Timothy y Hon	2272 Shafter Avenue	San Francisco	CA	94124	(415) 970-9718	(415) 970-9715		A/P	khplumbing8@sbcglobal.net
AMERICAN CONSTRUCTION AND SUPPLY   	WATER WELL DRILLING (C-57)         		                                   	Rodolfo Enrique  Arana	PO Box 410	Corta Madera	CA	94976	(415) 927-2024	(415) 927-1723	A 310599       	LAT	
COAST GEO -CONSTRUCTORS INC	WATER WELL DRILLING (C-57)         			Min  Wang	1215 Michigan Street	San Francisco                 	CA	94107	(415) 391-6465	(415) 391-5655	 A 440566      	A/P	terrycowhey@netscape.com
"TOM'S METAL SPECIALIST, INC."	WELDING (C-60)                     		TOM'S WELDING & FABRICATION	Carmen  Chau	1416 Wallace Avenue	San Francisco	CA	94124	(415) 822-7971	(415) 822-8119	728525	A/P	tcjob2006@yahoo.com
